day,x,y,z
267,-8.633931463906428E12,-1.3219380619998792E12,2.342828476826713E7
268,-8.66543334650584E12,-1.3267806246818726E12,2.3484997500540238E7
269,-8.696935216437896E12,-1.331623185424059E12,2.3541710205906168E7
270,-8.728437073793874E12,-1.3364657442403904E12,2.3598422884567767E7
271,-8.759938918664066E12,-1.3413083011446677E12,2.3655135536725625E7
272,-8.791440751137799E12,-1.346150856150545E12,2.3711848162578106E7
273,-8.82294257130344E12,-1.3509934092715298E12,2.3768560762321383E7
274,-8.854444379248416E12,-1.3558359605209866E12,2.382527333614947E7
275,-8.88594617505923E12,-1.3606785099121382E12,2.3881985884254258E7
276,-8.917447958821465E12,-1.3655210574580674E12,2.3938698406825542E7
277,-8.9489497306198E12,-1.3703636031717195E12,2.3995410904051065E7
278,-8.980451490538033E12,-1.375206147065904E12,2.405212337613642E7
279,-9.011953238659074E12,-1.380048689153297E12,2.4108835823276646E7
280,-9.043454975064975E12,-1.3848912294464421E12,2.416554824566971E7
281,-9.074956699836932E12,-1.389733767957753E12,2.4222260643513277E7
282,-9.106458413055299E12,-1.3945763046995146E12,2.427897301700439E7
283,-9.137960114799604E12,-1.3994188396838857E12,2.4335685366339196E7
284,-9.16946180514855E12,-1.4042613729229001E12,2.4392397691712733E7
285,-9.200963484180043E12,-1.4091039044284683E12,2.4449109993318755E7
286,-9.232465151971184E12,-1.4139464342123792E12,2.4505822271349583E7
287,-9.26396680859829E12,-1.418788962286302E12,2.4562534525996E7
288,-9.295468454136906E12,-1.4236314886617876E12,2.4619246757447157E7
289,-9.326970088661812E12,-1.4284740133502703E12,2.4675958965890504E7
290,-9.358471712247035E12,-1.4333165363630693E12,2.4732671151511736E7
291,-9.389973324965855E12,-1.4381590577113904E12,2.478938331449475E7
292,-9.421474926890822E12,-1.443001577406327E12,2.484609545502162E7
293,-9.452976518093758E12,-1.447844095458862E12,2.4902807573272567E7
294,-9.484478098645773E12,-1.4526866118798699E12,2.4959519669425953E7
295,-9.515979668617271E12,-1.4575291266801167E12,2.5016231743658274E7
296,-9.54748122807796E12,-1.4623716398702627E12,2.507294379614415E7
297,-9.578982777096863E12,-1.467214151460863E12,2.5129655827056337E7
298,-9.610484315742322E12,-1.4720566614623696E12,2.518636783656573E7
299,-9.641985844082014E12,-1.4768991698851323E12,2.524307982484136E7
300,-9.673487362182953E12,-1.4817416767394E12,2.5299791792050436E7
301,-9.704988870111504E12,-1.4865841820353218E12,2.5356503738358315E7
302,-9.736490367933387E12,-1.4914266857829495E12,2.5413215663928557E7
303,-9.767991855713688E12,-1.496269187992237E12,2.546992756892292E7
304,-9.799493333516863E12,-1.5011116886730432E12,2.5526639453501377E7
305,-9.830994801406756E12,-1.505954187835132E12,2.558335131782215E7
306,-9.862496259446594E12,-1.5107966854881748E12,2.5640063162041716E7
307,-9.893997707699004E12,-1.51563918164175E12,2.569677498631483E7
308,-9.925499146226016E12,-1.5204816763053455E12,2.5753486790794544E7
309,-9.957000575089074E12,-1.5253241694883594E12,2.5810198575632233E7
310,-9.988501994349041E12,-1.5301666612001013E12,2.5866910340977605E7
311,-1.0020003404066205E13,-1.5350091514497932E12,2.5923622086978737E7
312,-1.0051504804300291E13,-1.5398516402465703E12,2.598033381378208E7
313,-1.0083006195110463E13,-1.5446941275994832E12,2.6037045521532495E7
314,-1.0114507576555332E13,-1.5495366135174973E12,2.609375721037326E7
315,-1.0146008948692967E13,-1.5543790980094954E12,2.6150468880446102E7
316,-1.0177510311580896E13,-1.5592215810842778E12,2.620718053189121E7
317,-1.020901166527612E13,-1.564064062750564E12,2.6263892164847255E7
318,-1.0240513009835105E13,-1.5689065430169924E12,2.6320603779451426E7
319,-1.027201434531381E13,-1.573749021892123E12,2.6377315375839427E7
320,-1.0303515671767674E13,-1.5785914993844373E12,2.643402695414551E7
321,-1.0335016989251629E13,-1.583433975502339E12,2.649073851450249E7
322,-1.0366518297820111E13,-1.5882764502541562E12,2.654745005704178E7
323,-1.0398019597527062E13,-1.593118923648141E12,2.6604161581893377E7
324,-1.0429520888425934E13,-1.5979613956924712E12,2.6660873089185916E7
325,-1.0461022170569695E13,-1.6028038663952507E12,2.671758457904667E7
326,-1.0492523444010842E13,-1.6076463357645107E12,2.6774296051601574E7
327,-1.0524024708801396E13,-1.6124888038082107E12,2.6831007506975237E7
328,-1.0555525964992916E13,-1.617331270534239E12,2.688771894529097E7
329,-1.05870272126365E13,-1.6221737359504136E12,2.69444303666708E7
330,-1.0618528451782793E13,-1.6270162000644834E12,2.700114177123547E7
331,-1.065002968248199E13,-1.6318586628841284E12,2.7057853159104493E7
332,-1.0681530904783844E13,-1.6367011244169612E12,2.7114564530396134E7
333,-1.0713032118737668E13,-1.641543584670527E12,2.7171275885227446E7
334,-1.0744533324392342E13,-1.6463860436523054E12,2.7227987223714273E7
335,-1.077603452179632E13,-1.65122850136971E12,2.7284698545971286E7
336,-1.080753571099763E13,-1.65607095783009E12,2.7341409852111977E7
337,-1.0839036892043887E13,-1.6609134130407312E12,2.7398121142248686E7
338,-1.0870538064982285E13,-1.6657558670088552E12,2.745483241649262E7
339,-1.0902039229859615E13,-1.6705983197416223E12,2.751154367495385E7
340,-1.0933540386722264E13,-1.6754407712461301E12,2.7568254917741355E7
341,-1.0965041535616215E13,-1.680283221529416E12,2.7624966144963007E7
342,-1.0996542676587062E13,-1.6851256705984565E12,2.7681677356725603E7
343,-1.1028043809680008E13,-1.689968118460169E12,2.7738388553134877E7
344,-1.1059544934939865E13,-1.6948105651214114E12,2.7795099734295506E7
